id,langue,locuteur,ton_patron,paire_minimale,id_paire,duree_sec,f0_mean,f0_std,f0_range_hz,f0_range_st,f0_slope_hz_per_ms,n_inflexions_per_sec,voiced_ratio,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,delta_energy_mean,delta2_energy_mean
sw_020,swahili,L1_masculin,,non,,5.84,233.2,37.22,195.46,14.9,-0.0096,14.53,0.786,-315.4554,91.8642,-13.0134,65.4087,-21.4737,21.1581,-23.2398,9.4564,-9.3459,-0.8778,-3.2376,-2.3791,-2.8352,4.1076,2.0274
sw_021,swahili,L1_masculin,,non,,3.0,208.82,38.14,187.68,21.7,0.0156,15.61,0.827,-320.5689,86.456,-5.2547,72.0879,-29.1742,24.6201,-18.0011,6.288,-13.65,-0.2857,-5.2683,-0.452,-2.9094,4.1796,2.1393
sw_022,swahili,L1_masculin,,non,,2.64,197.78,24.07,98.8,8.8,-0.0198,14.72,0.77,-316.2212,81.6338,-5.8764,83.0938,-25.8368,25.7025,-24.1401,8.7357,-14.6911,3.9925,-5.1117,2.5916,-2.7361,4.1711,2.0634
sw_023,swahili,L1_masculin,,non,,2.36,229.6,37.56,165.43,11.7,0.0061,13.5,0.84,-304.5369,82.3606,-16.9772,73.8289,-29.6825,23.4951,-20.9287,8.6065,-11.5528,1.8407,-8.5314,-0.4957,-5.3291,4.053,1.9524
sw_024,swahili,L1_masculin,,non,,4.38,246.4,59.35,239.05,16.5,-0.033,14.58,0.788,-324.5994,91.8965,-9.1289,72.2277,-28.4507,18.2336,-19.2606,6.3343,-10.7975,-1.5833,-3.3395,-3.9606,-1.0919,4.0598,2.203
sw_025,swahili,L1_masculin,,non,,2.43,203.54,19.03,97.76,8.0,0.0159,14.34,0.783,-307.6539,96.359,-16.501,73.7998,-26.9464,23.9023,-22.5996,8.8238,-10.3405,1.652,-2.373,-2.7536,1.4294,3.8364,2.1519
sw_026,swahili,L1_masculin,,non,,2.52,105.97,9.56,33.29,5.6,-0.011,14.62,0.597,-309.8736,94.1931,-0.5393,83.4568,-12.0112,26.6907,-7.1731,1.7238,-11.4108,6.5082,-18.0943,8.9286,-14.0485,3.7792,1.9393
sw_027,swahili,L1_masculin,,non,,2.57,285.82,42.74,180.3,11.5,-0.0193,16.67,0.779,-327.7825,94.8284,-22.7896,63.5403,-26.2416,14.7317,-19.2034,6.518,-4.6266,-3.1243,-3.4127,0.393,-6.1151,4.4517,2.4637
sw_028,swahili,L1_masculin,,non,,3.76,210.39,26.04,123.52,10.4,-0.0057,13.79,0.796,-321.7815,88.7381,-8.8085,83.7188,-22.7507,19.3835,-22.0795,7.8192,-8.8248,-2.9168,-2.0268,-4.3891,-1.5017,4.0663,2.1675
sw_029,swahili,L1_masculin,,non,,2.87,181.7,22.46,119.92,10.9,-0.0195,14.58,0.691,-342.0809,91.2977,4.1113,83.0633,-20.8839,25.1241,-19.2675,9.2528,-9.8218,-0.5074,-2.1984,-1.3185,1.932,4.4369,2.2253
sw_030,swahili,L1_masculin,,non,,4.34,216.08,19.11,93.43,7.5,0.0008,16.09,0.752,-321.5704,102.5405,-17.1855,68.7169,-16.8564,18.4922,-26.5938,13.3153,-7.1878,-0.1103,-1.6031,-2.2131,0.2836,4.2181,2.2763
sw_031,swahili,L1_masculin,,non,,3.62,222.07,25.76,139.27,10.3,-0.0037,16.53,0.722,-316.362,85.2763,-10.3448,76.4743,-25.9802,19.9993,-24.6008,8.4697,-9.036,-1.9228,-1.0855,-0.6172,-3.4926,4.2975,2.2254
sw_032,swahili,L1_masculin,,non,,3.62,191.17,34.9,165.88,20.2,-0.0045,14.6,0.777,-344.019,103.6173,4.4061,71.5184,-20.6623,23.1056,-20.9613,8.9615,-9.6932,-0.636,-2.5383,-1.0894,0.5833,4.427,2.3167
sw_033,swahili,L1_masculin,,non,,5.45,205.89,28.3,155.21,12.4,0.0007,14.1,0.76,-318.2654,94.6541,-10.0877,80.5916,-22.2928,23.4702,-19.1745,4.792,-11.1638,-3.3311,-0.4669,-5.2352,-0.8686,3.8679,2.0237
sw_034,swahili,L1_masculin,,non,,2.811,207.96,27.33,132.21,10.3,0.005,17.38,0.798,-318.8775,101.2495,-13.9169,73.8776,-22.1856,18.3644,-22.7421,7.1139,-7.4491,-2.9208,-0.1079,1.0069,-1.4686,4.1398,2.3057
sw_035,swahili,L1_masculin,,non,,2.55,259.54,42.49,193.91,13.0,-0.0364,13.67,0.812,-327.825,92.122,-14.038,67.628,-29.8586,21.1112,-18.4921,0.9848,-6.4978,-5.1691,-1.1527,-2.6779,-5.1632,3.739,2.1136
audio_001,fongbe,L1_féminin,,non,,1.776,234.78,49.54,140.42,10.5,-0.1157,7.87,0.64,-606.1556,79.835,-1.7124,6.1219,-13.731,2.6485,-30.3461,-18.7717,-17.88,-13.8412,-6.9999,-14.6397,-6.206,3.1115,1.2336
audio_002,fongbe,L1_féminin,,non,,1.962,210.46,28.68,116.85,9.5,0.0148,7.11,0.426,-639.3586,55.5879,-11.4396,17.0934,-14.9904,-0.0678,-20.0658,-7.7027,-11.633,-18.3341,-10.1335,-4.1676,-5.9318,2.5194,1.1364
audio_003,fongbe,L1_féminin,,non,,1.718,209.17,42.93,137.37,10.6,-0.1498,8.14,0.483,-651.9705,85.8274,-18.7052,11.7399,-26.9921,-5.7208,-14.6103,-9.8601,-14.8263,-17.6804,-8.7665,-5.1757,-3.0187,2.8699,1.2216
